,title,category,Beschreibung,zip,description
19,Café Drechsler,cafes,Das legendäre Café Drechsler  am Naschmarkt wurde vom britischen Stardesigner Sir Terence Conran mit viel Fingerspitzengefühl umgestaltet. Täglich 23 Stunden geöffnet – ab drei Uhr morgens werden die ersten Gäste verköstigt. ,1060,The legendary Café Drechsler at the Naschmarkt was redesigned by the British star designer Sir Terence Conran with a lot of tact.Open 23 hours a day - from three in the morning the first guests are tasted.
20,Café Hawelka,cafes,Eine Wiener Institution. Sein einzigartiger Charme macht das Hawelka zum beliebten Treffpunkt für Künstler und zu einem Ort der Ruhe - nur eine Seitengasse vom Stephansplatz entfernt.,1010,A Viennese institution.His unique charm makes the Hawelka a popular meeting place for artists and a place of calm - just a side street from Stephansplatz.
21,Café Landtmann,cafes,"In diesem Wiener Traditions-Kaffeehaus waren u.a. Sigmund Freud, Marlene Dietrich, Romy Schneider, Paul McCartney und Hillary Clinton zu Gast.",1010,"In this traditional Vienna coffee house, among others, Sigmund Freud, Marlene Dietrich, Romy Schneider, Paul McCartney and Hillary Clinton were guests."
22,Café Leopold,cafes,"Gestaltet hat das Lokal im Leopold Museum das Wiener Architektenteam Ortner & Ortner. Das Café zeigt besonders bei Einbruch der Dunkelheit viel Charme und Wärme. Gute ""neue"" Wiener Küche, DJs am Abend. Schanigarten / Garten; Terasse",1070,"The restaurant in the Leopold Museum designed the Vienna Architectural team Ortner & Ortner.The café shows a lot of charm and warmth, especially when dark.Good ""new"" Viennese cuisine, DJs in the evening.Shanig species / garden;Terrace"
23,Café Prückel,cafes,"Ein Ringstraßen-Café gegenüber dem Museum für angewandte Kunst, dessen Interieur aus den 1950er-Jahren nicht nur Kaffeehaus-Freunde begeistert.",1010,"A ring road café compared to the Museum of Applied Arts, whose interior from the 1950s not only inspires coffee house friends."
24,Café Rüdigerhof,cafes,"Karten spielen, Zeitung lesen oder über Gott und die Welt plaudern: Im Café Rüdigerhof kommt keine Hektik auf. Das in der Nähe des Naschmarktes gelegene Lokal befindet sich in einem der schönsten Jugendstilhäuser Wiens.",1050,"Playing cards, reading the newspaper or chatting about God and the world: There is no hustle and bustle in the Café Rüdigerhof.The restaurant near the Naschmarkt is located in one of the most beautiful Art Nouveau houses in Vienna."
25,Café Sacher,cafes,Hier genießt man altehrwürdige Wiener Kaffeehaustradition am besten mit einer Sacher-Torte.,1010,Here you can enjoy time-honored Viennese coffee house tradition with a Sacher cake.
26,Café Stein,gastronomy,Ein angesagter Treff in einer angesagten Gegend.Ganz nahe bei der Universität trifft sich seit Ewigkeiten eine interessante Mischung aus alter und junger Szene. ,1090,A trendy meeting in a trendy area. Ganz near the university has been an interesting mix of old and young scene for ages.
27,Chelsea,nightlife,Das Urgestein der Gürtel-Lokale.Musik von Punk bis Brit-Pop. Jede Woche spielen hier auch mehrere Bands (oft aus England) live.,1080,"The veteran of the belt local. Music from punk to Brit pop.Every week, several bands (often from England) play live."
28,Corbaci,gastronomy,Hier gehört hochwertige Architektur zum Pflichtprogramm: die bemerkenswerte Mosaikdecke steht im Kontrast zur restlichen minimalistischen Architektur des Lokals.,1070,High -quality architecture is part of the mandatory program here: the remarkable mosaic blanket is contrasting to the rest of the minimalist architecture of the restaurant.
29,Das Möbel - Das Café,cafes,"Kein Tisch gleicht dem anderen, jeder Sessel schaut anders aus - und die Gäste können hier nicht nur essen und trinken. Sondern auch die - ständig wechselnden - Einrichtungsstücke kaufen.",1070,"No table compensates for the other, every armchair looks different - and the guests can not only eat and drink here.But also buy the - constantly changing - furnishings."
30,Das Möbel - Das Geschäft,shopping,"Ein absolut kreativer Shop nahe der Einkaufsmeile Mariahilfer Straße, der zum Staunen und Stöbern einlädt.",1060,"An absolutely creative shop near the shopping mile Mariahilfer Straße, which invites you to marvel and browse."
31,Demel K. & K. Hofzuckerbäcker,shopping,Die einstige k.u.k. Hofzuckerbäckerei steht noch heute für höchste Qualität in Sachen Mehlspeisen & Kaffee. ,1010,The former K.U.K.Hard sugar bakery still stands for the highest quality in terms of pastries & coffee.
32,Dommuseum,museum,"Es liegt gleich neben dem Stephansdom. Zu sehen sind Kostbarkeiten sakraler Kunst, liturgische Geräte, das kunstgeschichtlich bedeutende Bildnis des Habsburgers Herzog Rudolfs IV., gemalt um 1365, und vieles mehr.",1010,"It is right next to St. Stephen's Cathedral.You can see treasures of sacred art, liturgical devices, the portrait of the Habsburg Duke Rudolf IV., Painted around 1365, and much more."
33,Donauturm,sightseeing,"252 Meter hoch, mit zwei Schnell-Liften, die Sie binnen 45 Sekunden zum rotierenden Aussichts-Restaurant in 170 Metern Höhe bringen.",1220,"252 meters high, with two quick lifts, which they bring to the rotating viewing restaurant at a height of 170 meters within 45 seconds."
34,Dorotheum Juwelier,shopping,"Das Palais Dorotheum ist seit 1901 Sitz des ""Dorotheums"", eines der führenden Auktionshäuser weltweit. Rarer Schmuck von Art Déco bis zur Moderne kann nicht nur ersteigert sondern auch erworben werden.",1010,"The Palais Dorotheum has been the seat of the ""Dorotheum"", one of the leading auction houses worldwide since 1901.Rar jewelry from Art Deco to modernity can not only be bought but also acquired."
35,Dschungel Wien,musicstage,Junge Menschen von 2 bis 22 sind das Zielpublikum des Theaters für junges Publikum im MuseumsQuartier Wien. ,1070,Young people from 2 to 22 are the target audience of the theater for young audiences in the Museumsquartier Vienna.
36,Elfenkleid,shopping,"Damenmode, bei der Tragekomfort und trendunabhängige Eleganz in schlichtem, geradlinigem Design dominiert.",1040,"Women's fashion, in terms of wearing comfort and trend -independent elegance in a simple, straight design."
37,First Floor,nightlife,"Inmitten der Innenstadt im Nightlife-Gebiet ""Bermuda Dreieck"" liegt - ein wenig versteckt im 1. Stock - eine der besten Cocktail-Bars der Stadt.",1010,"In the middle of the city center in the Nightlife area ""Bermuda Dreieck"" - a little hidden on the 1st floor - one of the city's best cocktail bars."
38,Flex,nightlife,"Star-DJs der Techno- und Drum'n'Bass-Szene, die angesagtesten Stars der Alternative Music und aktuellen Dancekultur statten dem Flex regelmäßig einen Besuch ab.",1010,"Star DJs of the techno and drum'n'bass scene, the hottest stars of the alternative music and current dance culture regularly pay a visit to the flex."
39,Fluc,nightlife,These clubs are strongly influenced by electronic music; everything from avant garde noise performances to boisterous indie disco parties take place here.,1020,Thesis clubs are Strongly influenced by electronic music;Everything from avant garde noise performances to boisterous indie disco parties take place here.
40,Gergely's,restaurants,Das Angebot in diesem Szeneviertel reicht von gediegener österreichischer Küche beim Silberwirt bis zu italienischen Köstlichkeiten in der Trattoria Margareta.,1050,The offer in this scene district ranges from solid Austrian cuisine at the Silberwirt to Italian delicacies in the Trattoria Margareta.
41,Glacis Beisl,gastronomy,Klassiker der Wiener Küche und eine große Auswahl an österreichischen Weinen stehen hier auf der Karte.,1070,Classics of Viennese cuisine and a large selection of Austrian wines are on the menu.
42,Haas & Haas,shopping,"Das traditionsreiche Teehaus bietet duftende Tees und andere exklusive Produkte, die im Lokal nebenan konsumiert werden können.",1010,The traditional tea house offers fragrant teas and other exclusive products that can be consumed in the restaurant next door.
43,Haus der Musik,museum,In der musikalischen Erlebniswelt im Herzen der Stadt wird Musik mit allen Sinnen erlebbar.,1010,"In the musical world of experience in the heart of the city, music can be experienced with all your senses."
44,Haus des Meeres Vivarium Wien,museum,"Fische aus dem Mittelmeer, aus tropischen und heimischen Gewässern, freifliegende Vögel, herumlaufende Äffchen und Krokodile bietet dieses Vivarium.",1060,"This vivarium offers fish from the Mediterranean, made of tropical and domestic waters, free -flying birds, running around and crocodiles."
45,Hermesvilla Wien Museum,sightseeing,Die Villa der berühmten Kaiserin Elisabeth ist heute ein beliebter Schauplatz vielbeachteter Sonderausstellungen zu kulturgeschichtlichen Themen.,1130,The villa of the famous Empress Elisabeth is now a popular scene of highly respected special exhibitions on cultural -historical topics.
46,Hofburg,sightseeing,"Inmitten der Altstadt können die Privatgemächer und Repräsentationsräume der Habsburger, sowie zahlreiche Museen besichtigt werden.",1010,"In the middle of the old town, the private pickers and representation rooms of the Habsburgs, as well as numerous museums, can be visited."
47,Hotel Sacher,accommodations,Beschreibung,1010,Description
48,Jüdisches Museum Wien,museum,"Dieses Haus bietet eine ständige Schau zur jüdischer Geschichte und Religion sowie Wechselausstellungen zu verschiedenen Themen wie jüdische Literatur, Architektur, Fotografie, Kunst.",1010,"This house offers a permanent show on Jewish history and religion as well as alternating exhibitions on various topics such as Jewish literature, architecture, photography, art."
49,Julius Meinl am Graben,shopping,Hier kann man feinste Kulinarik und Lebensart aus aller Herren Länder in unvergleichlicher Atmosphäre erleben.,1010,Here you can experience the finest culinary and way of life from all over the world in an incomparable atmosphere.
50,Karlskirche,sightseeing,"Der auffällige Sakralbau mit der mächtiger Kuppel zählt zu den wichtigsten Barockbauten Wiens. Ein Lift führt bis in die Kuppel, so dass die berühmten Rottmayr-Fresken ganz aus der Nähe betrachtet werden können.",1040,"The striking sacred building with the powerful dome is one of the most important baroque buildings in Vienna.A lift leads to the dome, so that the famous Rottmayr frescoes can be viewed up close."
51,Kirche am Steinhof,sightseeing,Das architektonisches Meisterwerk Otto Wagners ist der erste Kirchenbau der Moderne in Europa und ein Wiener Jugendstiljuwel.,1140,The architectural masterpiece of Otto Wagner is the first church building of modernity in Europe and a Viennese Art Nouveau jewel.
52,Kleines Café,cafes,In diesem beliebten Szenetreffpunkt sieht man vor allem Leute aus dem künstlerischen Bereich.,1010,In this popular scene meeting point you can see above all people from the artistic field.
53,Kunst Haus Wien,museum,Das von Friedensreich Hundertwasser im typischen Stil erbaute Haus bietet eine Schau seiner Werke sowie wechselnde Ausstellungen spannender Gegenwartskunst.,1030,"The house, built by Friedensreich Hundertwasser in the typical style, offers a show of its works and changing exhibitions of exciting contemporary art."
54,Kunsthalle Wien,museum,Die Kunsthalle Wien im MuseumsQuartier konzentriert sich auf Präsentationen internationaler zeitgenössischer Kunst.,1070,The Kunsthalle Vienna in the museum district focuses on presentations of international contemporary art.
55,Kunsthistorisches Museum,museum,Mit seiner Kollektion bedeutender Werke und der weltgrößten Bruegel-Sammlung zählt das KHM zu den bedeutendsten Kunstsammlungen der Welt.,1010,"With its collection of significant works and the world's largest bruegel collection, the KHM is one of the most important art collections in the world."
56,Leopold Museum,museum,"Hunderte Meisterwerke der österreichischen Moderne, zusammengetragen vom leidenschaftlichen Kunstliebhaber Dr. Rudolf Leopold, zeigt das neue Leopold Museum im MuseumsQuartier.",1070,"Hundreds of masterpieces of Austrian modernity, compiled by the passionate art lover Dr.Rudolf Leopold shows the new Leopold Museum in the Museumsquartier."
57,Loft 8,museum,Das Loft 8 stellt vorwiegend Kunst junger österreichischer oder in Österreich lebender Künster aus.,1100,Loft 8 mainly exhibits art of young Austrian or Austria -living artists.
58,Loft City (ehemalige Ankerbrotfabrik),musuem,"In den einstigen Gebäuden der Ankertbrotfabrik wurden Lofts errichtet, die neben Gallerien auch Ateliers und eine Veranstaltungshalle beherbergen.",1100,"Lofts were built in the former buildings of the anchor bread factory, which in addition to Gallenien also accommodate studios and an event hall."
59,Loos American Bar,nightlife,"Eine mondäne Bar zum Schauen und Chillen, heute wie damals beliebt.",1010,"A sophisticated bar to look and chill, today as popular."
60,Ludwig Reiter Schuhmanufaktur,shopping,Die besondere Tradition des Hauses ist die Erzeugung rahmengenähter Schuhe im klassisch Wiener Stil.,1010,The special tradition of the house is the production of framework -sewn shoes in the classic Viennese style.
61,Ludwig Reiter Schuhmanufaktur,shopping,Die besondere Tradition des Hauses ist die Erzeugung rahmengenähter Schuhe im klassisch Wiener Stil.,1010,The special tradition of the house is the production of framework -sewn shoes in the classic Viennese style.
62,MAK - Österreichisches Museum für angewandte Kunst/Gegenwartskunst,museum,"In diesem Museum für Design sieht man auch kostbares Kunsthandwerk der Wiener Werkstätte, Bugholzmöbel von Thonet und Highlights des Jugendstils.",1010,"In this Museum of Design you can also see precious handicrafts of the Wiener Werkstätte, Bagholz furniture from Thonet and highlights of the Art Nouveau."
63,MAK Design Shop ,shopping,Artikel des täglichen Lebens in jungem und ausgefallenem Design können hier erstanden werden.,1010,Articles of daily life in a young and unusual design can be purchased here.
64,Manner Shop,shopping,"Die Manner Schnitten, jene Nougat-Waffeln in der rosaroten Verpackung mit der Silhouette des Stephansdoms, sind absoluter Kult und in diesem Shop täglich frisch",1010,"The men cut, those nougat waffles in the pink packaging with the silhouette of the Stephansdom are absolutely cult and fresh in this shop every day"
65,Motto,restaurants,"Das Restaurant Motto bewährt sich seit Jahren als Hotspot der Wiener Gastro-Szene. Hier mischen sich internationale Stars gerne unter das bunte Volk der ""Motto-Gäste"".",1050,"The Motto restaurant has proven itself as a hotspot of the Vienna Gastro scene for years.Here international stars like to mix among the colorful people of the ""motto guests""."
66,MQ Point,shopping,"Mehr als ein Museumsshop: Hier findet man Tassen und  Taschen in coolem Design, Buttons oder T-Shirts mit spaßigen Aufdrucken.",1070,"More than a museum shop: Here you will find cups and bags in cool design, buttons or T-shirts with fun prints."
67,Mühlbauer Hutmanufaktur,shopping,Trendige Kopfbedeckungen des 1903 in Wien gegründeten Familienunternehmens schmückt heute die Häupter des internationalen Jetsets.,1010,Trendy headgear of the family business founded in Vienna in 1903 adorns the heads of the international jet set today.
68,mumok - Museum moderner Kunst Stiftung Ludwig Wien,museum,"Bedeutende Werke internationaler Künstler aus den Bereichen Pop Art, Fluxus, Nouveau Réalisme und Wiener Aktionismus sind hier zu sehen.",1070,"Important works of international artists from the areas of Pop Art, Fluxus, Nouveau Réalisme and Viennese actionism can be seen here."
69,MuseumsQuartier Wien,museum,Das Aufsehen erregende Kunstareal nahe der Hofburg lockt nicht nur mit prominenten Museen sondern auch mit einer quicklebendigen Lokal-Szene,1070,The sensational art nature near the Hofburg attracts not only with prominent museums but also with a lively local scene
70,Musikverein,musicstage,"Musikfreunde auf der ganzen Welt kennen den Musikverein als Zentrum der Wiener Musikkultur, als Mittelpunkt des internationalen Konzertlebens, als Eldorado klassischer Musik.",1010,"Music lovers around the world know the music association as the center of Viennese music culture, as the center of international concert life, as an Eldorado classical music."
71,MuTh Museum & Theater,musicstage,Das MuTh ist ein 2012 eröffneter Konzertsaal der Wiener Sängerknaben. Neben dem berühmten Chor treten auch andere Größen der Musikbranche auf.,1020,"The Muth is a concert hall of the Viennese singing boys opened in 2012.In addition to the famous choir, other sizes of the music industry also appear."
72,Naschmarkt Deli,gastronomy,Ein beliebter Platz der Wiener Szene - Sounds zwischen Break Beats und Easy Listening von Wiener und internationalen DJs kann man hier hören.,1060,A popular place in the Viennese scene - Sounds between Break Beats and Easy Listening from Viennese and International DJs can be heard here.
73,Naturhistorisches Museum,museum,Von Insekten über Edelsteine und Mineralien bis zu Flugsauriern gewinnen Sie in diesem Museusm nahe der Hofburg faszinierende Einblicke in die Geschichte unserer Erde.,1010,"From insects to gemstones and minerals to airsaur, you gain fascinating insights into the history of our earth near the Hofburg."
74,Original Wiener Schneekugelmanufaktur & Schneekugelmuseum,museum,Seit über 100 Jahren verzaubern die Glaskugeln der Wiener Manufaktur Perzy mit ihren liebevoll gestalteten Winterlandschaften.,1170,"For over 100 years, the glass balls of the Vienna Manufaktur Perzy have been enchanted with their lovingly designed winter landscapes."
75,Österreichische Werkstätten,shopping,"Das Fachgeschäft für Designerschmuck, Glas, Mode-Accessoires und Wien Products.",1010,"The specialist shop for designer jewelry, glass, fashion accessories and Vienna Products."
76,Österreichisches Filmmuseum,museum,"Werke von heimischen und internationalen Filmemachern, Vorträge und eine Bibliothek lassen hier die Herzen von Filmliebhabern höher schlagen. ",1010,"Works by domestic and international filmmakers, lectures and a library make the hearts of film lovers beat faster."
77,Otto Wagner Pavillon,sightseeing,Dieses ehemalige Stadtbahn-Stationsgebäude ist ein Wahrzeichen des Jugendstils und bietet heute den Rahmen für eine kompakte Otto Wagner Präsentation.,1040,This former Stadtbahn station building is a symbol of Art Nouveau and now offers the framework for a compact Otto Wagner presentation.
78,Palmenhaus,sightseeing,In dem ehemaligen Gewächshaus speist man zwischen exotischen Pflanzen und entspannt sich bei einem guten Glas Wein oder einem feinen Cocktail.,1130,In the former greenhouse you feed between exotic plants and relax with a good glass of wine or a fine cocktail.
79,Park,shopping,In diesem ganz in Weiß gehaltenem Concept Store findet man Mode heimischer und internationaler Labels.,1070,"In this concept store, which is in a white -white concept, you will find fashion of local and international labels."
80,Pitti,shopping,"Ob gediegen oder flippig, wer Taschen liebt, ist hier zu Hause.",1010,"Whether solid or funky, whoever loves bags is at home here."
81,Porgy & Bess,musicstage,"Jazz vom Feinsten  findet man im Porgy & Bess, einem renommierten Jazz- und Musicclub mit vielfältigem Programmangebot. Österreichischer und internationaler Musiker setzen hier außergewöhnliche und interessante musikalische Schwerpunkte. ",1010,"The finest jazz can be found in Porgy & Bess, a renowned jazz and music club with a variety of programs.Austrian and international musicians set extraordinary and interesting musical focus here."
82,Pratersauna,nightlife,"Die großzügigen Räumlichkeiten einer ehemaligen Sauna im Prater sind Treffpunkt der Musik-, Kunst-, Kultur- und Lifestyle-Szene.",1020,"The generous premises of a former sauna in the Prater are the meeting point for the music, art, cultural and lifestyle scene."
83,Pregenzer Fashionstore,shopping,Neben den eigenen puristisch-strengen Kollektionen sind hier auch internationale Designerlabels vertreten.,1040,"In addition to your own puristic-strict collections, international designer labels are also represented here."
84,Raimund Theater,musicstage,"Das Raimund Theater war lange Zeit das Stammhaus publikumswirksamer Operetten, bevor auch hier in den 1970er Jahren das Musical Einzug hielt. Heute ist es eine Musical-Spielstätte der Vereinigten Bühnen Wiens.",1060,"For a long time, the Raimund Theater was the parent company operetta, before the musical arrived here in the 1970s.Today it is a musical venue of the United Bühnen in Vienna."
85,Ra'mien,gastronomy,"Asiatische Fusionsküche in einem absolut coolen Ambiente. Nicht teuer, nette Menschen und vor allem beste Qualität. ",1060,"Asian fusion kitchen in an absolutely cool ambience.Not expensive, nice people and, above all, the best quality."
86,Restaurant Vestibül,restaurants,Das Lokal im Burgtheater ist eine Großstadtbrasserie der Sonderklasse mit einem der schönsten Gastgärten der Stadt.,1010,The restaurant in the Burgtheater is a special class in the special class with one of the most beautiful guest gardens in the city.
87,Riesenrad,sightseeing,"Von diesem Wahrzeichen Wiens kann man den Blick auf die Stadt aus 64,75 Meter Höhe genießen.",1020,From this landmark of Vienna you can enjoy the view of the city from 64.75 meters.
88,Ronacher Theater,musicstage,"Das Ronacher, jenes Theater, in dem alle Stars des Revuetheaters ihr Wien-Debüt feierten, ist heute die Musicalbühne in der Wiener Innenstadt.",1010,"The Ronacher, the theater in which all stars of the Revuetheater celebrated their Vienna debut, is now the musical stage in downtown Vienna."
89,Säulenhalle,nightlife,Die Clubdiskothek mit dem blumengeschmückten und palmenbestückten Garten bietet Tanzunterhaltung mit Stil.,1010,The club discotheque with the flower -decorated and palm -covered garden offers dance entertainment with style.
90,Schatzkammer ,sightseeing,"Hier, im ältesten Teil der Hofburg (13. Jh.), finden Sie nicht nur die Kaiserkrone des Heiligen Römischen Reiches (um 962) und die österreichische Kaiserkrone (1602), sondern auch den Burgunderschatz aus dem 15. Jahrhundert und den Schatz des Ordens vom Goldenen Vlies.",1010,"Here, in the oldest part of the Hofburg (13th century), you will not only find the imperial crown of the Holy Roman Empire (around 962) and the Austrian imperial crown (1602), but also the Burgundy treasure from the 15th century and the treasure of the orderFrom the golden fleece."
91,Schau Schau Brillen,shopping,In diesem außergewöhnlichen Fachgeschäft mit hauseigener Manufaktur werden Augen mit Formenreichtum und Farbvielfalt verwöhnt.,1010,"In this extraordinary specialist shop with in -house manufactory, eyes are spoiled with shape and variety of colors."
92,Schauraum Lichterloh,museum,Der Schauraum Lichterloh zeigt Designermöbel von damals und heute,1100,The showroom light -loved designer furniture from then and now shows
93,Schloss Belvedere,sightseeing,"Besuchen Sie Gustav Klimt's legendäres Gemälde ""Der Kuss"" und die bedeutenden Werke von Schiele und Kokoschka.",1030,"Visit Gustav Klimt's legendary painting ""The Kiss"" and the important works by Schiele and Kokoschka."
94,Schloss Schönbrunn,sightseeing,"Schönbrunn, die ehemalige Sommerresidenz der Kaiserfamilie, zählt zu den schönsten Barockschlössern Europas.",1130,"Schönbrunn, the former summer residence of the imperial family, is one of the most beautiful baroque locks in Europe."
95,Schokoladekönig,shopping,Handgemachte Schokolade-Köstlichkeiten von goldenen Wienerherzen bis zu Schokoladeknöpfen warten hier auf Naschkatzen.,1010,Handmade chocolate delicacies from golden Viennese hearts to chocolate buttons are waiting for sweet tooth here.
96,Secession,museum,In diesem bedeutenden Jugendstilgebäude mit seinem markanten goldenen Blätterdach ist Klimts berühmter Beethovenfries zu sehen.,1010,Klimt's famous Beethovenfries can be seen in this important Art Nouveau building with its striking gold leaf roof.
97,shu! ,shopping,"Ein Shop, so extravagant wie seine Schreibweise - macht Menschen mit dem etwas anderen Geschmack Lust auf neue Fußbekleidung.",1070,"A shop, as extravagant as his spelling - makes people want to find new footwear with the slightly different taste."
98,Sisi Museum,sightseeing,In den originalen Privatgemächern der Kaiserin Elisabeth sind zahlreiche persönliche Objekte sowie die berühmtesten Elisabeth-Porträts zu sehen.,1010,Numerous personal objects and the most famous Elisabeth portraits can be seen in the original private compartments of Empress Elisabeth.
99,Sky Café Restaurant Bar,gastronomy,Hier bietet sich vom obersten Stock des Kaufhauses Steffl ein hervorragender Blick über die Innenstadt.,1010,"From the top floor of the Steffl department store, there is an excellent view of the city center."
100,Song,shopping,Die Boutique Song bietet aktuelle Mode von renommierten Designern und ist auch Wiens erster Acne-Shop.,1020,The Boutique Song offers current fashion from renowned designers and is also Vienna's first acne shop.
101,Spanische Hofreitschule,sightseeing,Reitkunst in höchster Vollendung kann man hier im barocken Ambiente der Hofburg erleben.,1010,Riding art at the highest level can be experienced here in the baroque ambience of the Hofburg.
102,Staud's Wien,shopping,Seit 1947 verkauft hier Familie Staud erlesene Konfitüren und Gemüsedelikatessen.,1160,"Since 1947, the Staud family has been selling fine jams and vegetable elements."
103,Stein's Diner,gastronomy,"Schon am Morgen ist im Café einiges los und wer bis in die Nacht bleiben will, der begibt sich am Abend in ""Stein's Diner"" unter dem Café.",1090,"There is a lot going on in the café in the morning and if you want to stay into the night, you go under the café in ""Stein's Diner"" in the evening."
